ID,APRexplained,BadWordCount,Flesch,FleschKincaid,FogIndex,GoodWordCount,Jargon,Terms,WordCount,Cat
1,0,1,78.54140465,6.150042377,11.9801137,1,3,8,387,0
2,0,1,59.17534783,11.86216425,16.54724638,2,5,3,828,0
3,0,3,56.96768347,13.19692437,17.14711485,1,1,1,476,0
4,0,3,41.41822211,18.61720973,23.44251565,2,3,10,1255,0
5,0,1,62.93678651,10.05092414,15.25950086,1,2,7,426,0
6,0,2,80.00458874,6.654805195,10.5021645,0,1,3,770,0
7,0,3,65.58465947,7.979349486,11.76468477,2,5,12,903,0
8,0,3,63.28223374,12.12479001,16.88279284,2,3,6,836,0
9,1,2,58.38096377,12.64146175,16.77422678,4,4,7,1666,0
10,0,2,57.09894375,11.27597987,15.35830704,1,3,8,1613,0
11,0,0,63.12913043,10.16792271,14.70724638,0,2,5,414,0
12,0,1,51.75934211,17.84026316,24.89473684,0,0,6,95,0
13,0,0,70.56560606,8.882255892,12.57104377,0,2,10,594,0
14,6,4,38.71161596,18.23066133,22.8296133,4,4,13,22501,0
15,0,0,75.65351351,6.646537967,13.00952381,0,1,3,222,0
16,0,0,70.58130722,8.926646127,13.04401408,3,4,5,1420,0
17,1,1,66.66512291,8.638423586,13.66192933,1,3,9,659,0
18,0,2,74.75427518,7.010712531,12.4029484,2,3,9,740,0
19,0,0,80.62615385,4.708085106,11.43066012,1,2,2,141,0
20,0,1,58.56750845,12.55869932,16.76512474,2,3,8,962,0
21,0,2,50.62771994,14.00255305,17.87170645,1,3,5,377,0
22,0,1,76.95405713,7.546095361,13.11426117,1,3,4,485,0
23,0,0,79.09587313,5.521411262,8.189593728,0,1,2,305,0
24,0,2,63.2125206,10.33847191,14.77423221,2,2,5,712,0
25,0,0,64.70215191,11.92213944,15.89662877,1,3,9,557,0
26,0,2,63.15999106,9.92390714,13.78218795,2,5,11,1256,0
27,0,0,64.49929496,11.16926619,16.29985612,2,2,5,278,0
28,0,1,67.26928733,8.262320261,14.12036199,3,3,3,459,0
29,0,2,40.38458479,17.80315948,21.75624611,3,4,9,1147,0
30,0,1,74.72569257,7.936266351,12.05414223,2,3,5,739,0
31,0,0,59.77796409,11.05974073,13.9980045,0,1,6,593,0
32,0,2,52.20943779,14.31825945,18.79554688,3,5,18,4667,1
33,1,2,54.09342094,13.07750781,18.37851713,1,2,9,1067,1
34,0,2,42.76001751,19.61304622,25.8837535,2,2,11,595,1
35,0,1,63.99036657,7.860029326,12.2228739,1,2,8,440,1
36,0,0,46.72492326,15.95053237,21.66119904,1,1,11,556,1
37,0,0,46.94795955,18.78048456,24.78496284,2,3,2,583,1
38,0,1,65.13589277,10.2031894,14.47991041,2,2,11,1626,1
39,0,0,58.25501021,13.17395301,17.66455567,1,4,8,1068,1
40,0,2,53.16663192,13.72853484,19.81893985,1,3,7,730,1
41,1,4,63.71928571,11.82460317,15.85185185,1,5,5,1890,1
42,0,2,55.96072918,12.93080732,18.08372575,2,2,6,933,1
43,0,1,57.5991453,14.19641026,19.98290598,2,2,5,650,1
44,0,0,65.20946075,9.724879725,15.00195612,1,2,3,291,1
45,0,2,42.59672444,18.98162886,24.57339723,1,4,12,939,1
46,0,1,69.98804137,7.48686059,13.01693601,1,3,18,546,1
47,0,2,63.11369565,11.54927869,17.12117275,2,2,4,828,1
48,1,1,67.69088522,9.062917699,13.5569899,2,2,8,1119,1
49,0,0,25.47462598,25.48129921,30.28188976,2,3,9,254,1
50,0,0,62.25840118,11.30295775,15.5587356,1,2,4,677,1
51,0,1,37.31455272,19.95163186,22.96065996,0,1,2,431,1
52,1,2,56.12181098,13.57989634,18.05902439,2,2,11,1312,1
53,0,0,62.99217775,10.4216512,16.25991235,1,1,8,431,1
54,0,2,46.91549333,17.06672,22.42666667,1,3,5,625,1
55,0,0,67.47928176,11.34592231,16.6769972,2,3,18,1147,1
56,0,0,46.63367087,16.34856704,21.60090498,3,4,13,1313,1
57,0,1,73.02768956,8.245248114,13.21810242,2,4,5,229,1
58,0,2,64.17738213,10.84152471,14.85460076,2,1,4,526,1
59,0,0,10.97174359,29.16862678,34.68968661,1,1,8,351,1
60,0,0,54.82801911,15.47193685,19.52486294,1,5,6,1151,1
61,0,1,53.65810612,16.05380287,20.90045317,1,2,8,662,1
62,0,0,59.47709677,12.66473118,17.2172043,1,3,5,930,1
63,0,2,50.97279161,13.26511175,18.00851426,1,4,20,2320,2
64,0,0,67.22532516,9.698879693,14.59083654,2,3,6,398,2
65,0,0,53.23227273,14.31530825,18.90769767,1,4,11,990,2
66,0,0,47.82428226,15.47699793,22.26142167,1,1,7,322,2
67,0,1,23.15670454,24.86934472,29.05413734,2,5,10,2031,2
68,0,1,53.19318548,11.73810484,14.9315568,1,2,4,736,2
69,0,2,42.30923493,15.20581169,19.29174159,1,2,13,3696,2
70,3,2,59.102345,11.23510024,16.27498461,2,5,7,2153,2
71,0,2,32.63977702,19.47947017,25.98277111,0,0,5,477,2
72,0,2,64.13047405,9.975954783,15.21278716,0,2,12,433,2
73,0,0,67.73677007,11.10454119,15.44115398,1,3,3,411,2
74,0,1,-49.64136316,54.23448249,59.76830091,1,5,8,2056,2
75,0,0,54.68626095,12.28403873,16.02231443,0,1,2,241,2
76,0,1,54.83176809,13.02956893,18.17471564,1,5,16,1284,2
77,0,2,13.51201552,29.07101872,33.99637498,1,5,11,2137,2
78,0,0,53.61873188,12.44673913,15.64016563,1,3,6,644,2
79,1,1,57.50542781,12.14928699,16.48674985,1,3,9,918,2
80,0,0,22.81817946,25.04442946,28.5813278,1,2,12,241,2
81,0,0,60.07157895,11.35274854,15.10792132,1,4,3,495,2
82,0,1,43.91467792,17.71299902,21.2603392,0,1,2,511,2
83,0,1,56.58528014,13.06808149,17.49337861,2,4,12,589,2
84,0,0,49.45441935,15.60294624,20.04129032,1,3,5,372,2
85,1,0,71.20929127,8.712520935,12.65853902,1,4,14,1886,2
86,0,0,65.11210552,11.17488166,16.40614258,3,4,6,1183,2
87,0,0,64.40515316,9.979141963,15.81139657,3,3,6,1056,2
88,0,1,46.77241379,13.93992337,19.87586207,1,1,2,261,2
89,0,1,42.7159657,19.78115581,23.51332139,0,2,7,854,2
90,0,1,50.16076923,17.939018,23.77545008,1,4,9,611,2
91,0,0,66.17241983,12.4463405,19.07738371,1,3,20,847,2
92,0,0,50.37890397,14.43916853,17.22214383,0,3,7,958,2
93,0,1,31.71135084,20.58878049,23.6710444,0,3,9,615,2
